epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,762.482,1.15807,0.69851,0.94018,0.86755,0.75672,0.86065,0.54676,1.25794,0.72565,0.93937,0.00274,0.00274,0.00274
112,769.242,1.15245,0.69123,0.93192,0.86355,0.76844,0.86545,0.55474,1.22737,0.72047,0.93671,0.002674,0.002674,0.002674
113,775.997,1.16802,0.69887,0.94473,0.85812,0.76246,0.85922,0.54805,1.23846,0.73081,0.9316,0.002608,0.002608,0.002608
114,782.753,1.1632,0.69882,0.93958,0.85206,0.76599,0.85584,0.54403,1.25161,0.73343,0.93733,0.002542,0.002542,0.002542
115,789.514,1.16446,0.69513,0.93826,0.87205,0.75238,0.86147,0.5468,1.24817,0.72183,0.93393,0.002476,0.002476,0.002476
116,796.282,1.16073,0.69833,0.9441,0.86306,0.76148,0.86548,0.55182,1.24279,0.71954,0.93672,0.00241,0.00241,0.00241
117,803.055,1.15384,0.69442,0.94117,0.86962,0.77463,0.8717,0.56841,1.20718,0.70335,0.92912,0.002344,0.002344,0.002344
118,809.818,1.14373,0.68228,0.93637,0.87749,0.74614,0.85955,0.54016,1.27686,0.72935,0.93844,0.002278,0.002278,0.002278
119,816.579,1.13571,0.67394,0.93217,0.86314,0.76288,0.86202,0.54166,1.26744,0.72677,0.93752,0.002212,0.002212,0.002212
120,823.339,1.14199,0.68078,0.93755,0.87053,0.76946,0.8673,0.55602,1.23594,0.71048,0.93156,0.002146,0.002146,0.002146
121,830.105,1.12762,0.67476,0.93622,0.85243,0.75805,0.85329,0.52279,1.3135,0.74336,0.9427,0.00208,0.00208,0.00208
122,836.874,1.12902,0.66432,0.93182,0.86962,0.77677,0.87304,0.56301,1.22513,0.69772,0.93226,0.002014,0.002014,0.002014
123,843.631,1.12371,0.6676,0.93132,0.87799,0.77282,0.86998,0.56507,1.21368,0.7048,0.92815,0.001948,0.001948,0.001948
124,850.392,1.12133,0.6645,0.93287,0.87611,0.76285,0.86843,0.55695,1.22394,0.70656,0.92835,0.001882,0.001882,0.001882
125,857.161,1.11706,0.6659,0.92807,0.866,0.76024,0.85978,0.53029,1.29694,0.72836,0.94001,0.001816,0.001816,0.001816
126,863.928,1.11389,0.66742,0.92331,0.88105,0.77424,0.87544,0.5676,1.20595,0.69164,0.92436,0.00175,0.00175,0.00175
127,870.693,1.14214,0.68562,0.93337,0.87787,0.76931,0.87444,0.5631,1.21868,0.69989,0.9296,0.001684,0.001684,0.001684
128,877.443,1.09646,0.64333,0.92329,0.87109,0.77684,0.86932,0.55686,1.2337,0.70555,0.92986,0.001618,0.001618,0.001618
129,884.214,1.09959,0.65096,0.92464,0.8658,0.7787,0.87077,0.55848,1.22593,0.6989,0.92891,0.001552,0.001552,0.001552
130,890.972,1.09955,0.65069,0.92704,0.87566,0.76323,0.86481,0.52987,1.31627,0.72482,0.94331,0.001486,0.001486,0.001486
131,897.734,1.08999,0.64153,0.92073,0.86775,0.77045,0.8681,0.53634,1.29642,0.71847,0.94162,0.00142,0.00142,0.00142
132,904.491,1.08483,0.63718,0.9233,0.87966,0.77437,0.87445,0.56168,1.22141,0.69282,0.92444,0.001354,0.001354,0.001354
133,911.246,1.08393,0.64304,0.92693,0.87642,0.77734,0.87754,0.57015,1.20336,0.68411,0.92261,0.001288,0.001288,0.001288
134,918.009,1.08023,0.6371,0.91998,0.88761,0.77906,0.88206,0.57338,1.20871,0.67846,0.9259,0.001222,0.001222,0.001222
135,924.777,1.08398,0.63858,0.91871,0.879,0.7814,0.87961,0.56475,1.22731,0.68321,0.9286,0.001156,0.001156,0.001156
136,931.53,1.08292,0.64273,0.9169,0.88186,0.77478,0.87329,0.5481,1.26347,0.69743,0.93216,0.00109,0.00109,0.00109
137,938.291,1.08814,0.62896,0.91928,0.90288,0.78147,0.88583,0.5798,1.19115,0.66654,0.92267,0.001024,0.001024,0.001024
138,945.056,1.07084,0.63916,0.91302,0.89061,0.78067,0.87996,0.56502,1.22385,0.68232,0.92729,0.000958,0.000958,0.000958
139,951.827,1.06562,0.63225,0.91922,0.8923,0.78216,0.88494,0.56534,1.23401,0.67611,0.92908,0.000892,0.000892,0.000892
140,958.591,1.07797,0.64238,0.91362,0.89439,0.78331,0.88547,0.57272,1.2135,0.66896,0.92521,0.000826,0.000826,0.000826
141,967.242,1.06635,0.63439,0.9124,0.89079,0.78957,0.88607,0.57883,1.19454,0.66633,0.92082,0.00076,0.00076,0.00076
142,974.012,1.09587,0.63711,0.95246,0.89626,0.78706,0.8881,0.5815,1.18747,0.6619,0.9203,0.000694,0.000694,0.000694
143,980.774,1.0715,0.6357,0.9141,0.89325,0.78374,0.88558,0.56926,1.22385,0.6696,0.92584,0.000628,0.000628,0.000628
144,987.559,1.04928,0.62062,0.91306,0.89566,0.78765,0.88516,0.56325,1.24335,0.6723,0.92789,0.000562,0.000562,0.000562
145,994.33,1.0549,0.62605,0.90882,0.89816,0.78519,0.88512,0.56282,1.24555,0.67341,0.93002,0.000496,0.000496,0.000496
146,1001.1,1.06222,0.62472,0.91663,0.89949,0.78452,0.88583,0.57485,1.20468,0.66589,0.92221,0.00043,0.00043,0.00043
147,1007.88,1.03969,0.61346,0.91059,0.89299,0.78268,0.88328,0.57313,1.20388,0.66952,0.92122,0.000364,0.000364,0.000364
148,1014.64,1.02694,0.60786,0.90777,0.90081,0.78572,0.88823,0.57822,1.19847,0.65926,0.92143,0.000298,0.000298,0.000298
149,1021.4,1.05148,0.62248,0.9164,0.9034,0.78274,0.88772,0.57434,1.20754,0.66169,0.92407,0.000232,0.000232,0.000232
150,1028.16,1.03334,0.60578,0.90926,0.901,0.78435,0.88726,0.57151,1.21747,0.66347,0.92467,0.000166,0.000166,0.000166
